Titolo,Link,Età,Descrizione,Tipo,Difficoltà,Durata,Lingua,Keywords
 Project   Digital Information Dilemmas Part 1,https://studio.code.org/s/csp1-2022/lessons/13,14+,"In this lesson students finish designing an artifact that represents their analysis of an article on the impacts of digitizing information. Students will complete the final two quadrants of their poster in which they identify the benefits and harms highlighted in the article and then make an overall claim about whether the world has been made better or worse through the digitization of information. At the conclusion of the class students update the position of their stickies on the ""better"" to ""worse"" spectrum they designed yesterday and then discuss whether and why they changed their opinion.",Quiz,Media,30-60,Inglese,"['lesson students finish designing', 'final two quadrants', 'class students update', 'overall claim', 'harms highlighted']"
 Project   Digital Information Dilemmas Part 2,https://studio.code.org/s/csp1-2022/lessons/14,14+,Students complete a multiple choice assessment which covers the unit topics. ,Quiz,Media,30-60,Inglese,"['multiple choice assessment', 'unit topics', 'students complete', 'covers']"
Welcome to the Internet,https://studio.code.org/s/csp2-2022/lessons/1,14+,"After a short transition from representing information in Unit 1 to communicating information in Unit 2, students take time to think about their knowledge of the Internet and how it works. Following this, students are introduced to a new widget: The Internet Simulator which they will use throughout this unit to explore the inner workings of the Internet. ",Quiz,Media,30-60,Inglese,"['students take time', 'use throughout', 'short transition', 'representing information', 'new widget']"
Building a Network,https://studio.code.org/s/csp2-2022/lessons/2,14+,"In this lesson, students are formed into groups of 5-7 and given string so they can connect themselves together to form a computer network. Students are given several specific networks to form, along with several guidelines for how to best form computer networks. Students are also forced to wrestle with conflicting guidelines in determining the ‘best’ way to connect together to form a network, and will need to justify why they chose the networks that they did. ",Quiz,Media,30-60,Inglese,"['‘ best ’ way', 'given several specific networks', 'best form computer networks', 'several guidelines', 'given string']"
The Need for Addressing,https://studio.code.org/s/csp2-2022/lessons/3,14+,"Students complete a scheduling challenge three times, once unplugged, and twice on the Internet Simulator, to explore the need for addressing messages online. Students first complete a challenge where they are allowed to talk to one another to fill out a weekly schedule. They then move on to a version of the Internet Simulator where all of their messages are ""broadcast"" or sent to everyone in the same simulator room. This challenge forces students to develop shared rules for communicating to complete the scheduling activity a second and then third time. The wrap up helps students connect their experiences to real-life rules, or protocols, used on the Internet for addressing messages.",Quiz,Media,30-60,Inglese,"['scheduling challenge three times', 'helps students connect', 'develop shared rules', 'challenge forces students', 'students first complete']"
Routers and Redundancy,https://studio.code.org/s/csp2-2022/lessons/4,14+,"Students spend most of today’s lesson in an updated Internet Simulator that lets students send messages with a dedicated To and From IP  Address. Students start by connecting to a dedicated router and sending messages only to each other. They look at the router logs to find other students on different routers, then send messages to those students. They look at the router logs again to notice that messages are being passed between routers in order to reach their destination. Students continue to send messages and view the logs one last time to notice that the messages are also taking different paths to reach the same destination. The lesson wraps-up by introducing new vocabulary and using these words to summarize today’s activity.",Quiz,Media,30-60,Inglese,"['also taking different paths', 'logs one last time', 'lets students send messages', 'updated internet simulator', 'introducing new vocabulary']"
Packets,https://studio.code.org/s/csp2-2022/lessons/5,14+,"Students learn that large messages sent over the Internet are actually divided into individual packets and explore the challenges this creates. First students explore a version of the Internet Simulator that breaks messages into packets to get a sense for how it works. Students then use an activity guide that walks them through the challenges that dropped or out-of-order packets create. They then design their own protocol that addresses these challenges. At the end of the lesson students watch a video and learn and the User Datagram Protocol (UDP) and The Transmission Control Protocol (TCP), two different protocols for sending messages broken into packets.",Quiz,Media,30-60,Inglese,"['tcp ), two different protocols', 'sending messages broken', 'large messages sent', 'user datagram protocol', 'transmission control protocol']"
HTTP and DNS,https://studio.code.org/s/csp2-2022/lessons/6,14+,"Students conclude their study of the layers of the Internet by learning about two top-level protocols, HTTP and DNS. The lesson begins with a review of the layers students have already learned, namely the physical Internet, IP, and TCP / UDP. The lesson then dives into the core of the unit which is ""What happens when I type an address into my browser?"" Students will complete two brief activities, one unplugged, and one plugged, that explore how the DNS works. Students then watch videos explaining how both DNS and HTTP work, taking notes in a provided activity guide. The lesson concludes with a review of how the different layers of the Internet work.",Quiz,Media,30-60,Inglese,"['complete two brief activities', 'watch videos explaining', 'provided activity guide', 'two top', 'taking notes']"
Project   Internet Dilemmas Part 1,https://studio.code.org/s/csp2-2022/lessons/7,14+,Students begin working on a two-day project exploring a dilemma at the intersection of the Internet and society. ,Testo,Media,30-60,Inglese,"['students begin working', 'day project exploring', 'two', 'society', 'intersection']"
Project   Internet Dilemmas Part 2,https://studio.code.org/s/csp2-2022/lessons/8,14+,Students finish working on a two-day project exploring a dilemma at the intersection of the Internet and society.,Quiz,Media,30-60,Inglese,"['students finish working', 'day project exploring', 'two', 'society', 'intersection']"
Assessment Day,https://studio.code.org/s/csp2-2022/lessons/9,14+,Students complete a multiple choice assessment which covers the unit topics.,Quiz,Media,30-60,Inglese,"['multiple choice assessment', 'unit topics', 'students complete', 'covers']"
Introduction to Apps,https://studio.code.org/s/csp3-2022/lessons/1,14+,"Students explore and investigate what makes an app an app. They begin by looking at and discussing five different apps. Following this, students watch a video explaining the basics of how computers work. Finally students return to the apps and consider the various inputs and outputs.",Quiz,Media,30-60,Inglese,"['discussing five different apps', 'finally students return', 'students watch', 'students explore', 'video explaining']"
Introduction to Design Mode,https://studio.code.org/s/csp3-2022/lessons/2,14+,Students work through a progression of levels to build an understanding of how to use Design Mode to layout an app. The final level has students setting up the screen of an app by attempting to copy an image of an app. ,Quiz,Media,30-60,Inglese,"['use design mode', 'students work', 'students setting', 'final level', 'understanding']"
Project   Designing an App Part 1,https://studio.code.org/s/csp3-2022/lessons/3,14+,"This is the first in a series of lessons where students will make progress on building their own functional app. In this lesson, students brainstorm app ideas and sketch out user interfaces in preparation for the next lesson where they will return to App Lab. ",Testo,Media,30-60,Inglese,"['students brainstorm app ideas', 'functional app', 'app lab', 'user interfaces', 'make progress']"
Project   Designing an App Part 2,https://studio.code.org/s/csp3-2022/lessons/4,14+,Students continue working on the unit projects in this lesson that is primarily designed to be work time. Students continue to follow the app development process outlined in their App Development Guide by transferring their user interfaces designs from their planning guides over to App Lab,Esercizi,Media,30-60,Inglese,"['app development process outlined', 'app development guide', 'user interfaces designs', 'students continue working', 'students continue']"
The Need for Programming Languages,https://studio.code.org/s/csp3-2022/lessons/5,14+,In this lesson students explore the challenges of clearly communicating instructions. They build a small arrangement of blocks (LEGO® pieces or paper cutouts) and then create text instructions a classmate could follow to construct the same arrangement. Groups then trade instructions to see if they were clear enough to allow reconstruction of the original arrangement. The wrap-up discussion is used to highlight the inherent ambiguities of human language and call out the need for the creation of a programming language which leaves no room for interpretation.,Quiz,Media,30-60,Inglese,"['lesson students explore', 'lego ® pieces', 'classmate could follow', 'create text instructions', 'clearly communicating instructions']"
Intro to Programming,https://studio.code.org/s/csp3-2022/lessons/6,14+,Students use and modify a series of simple apps to get familiar with a small set of programming commands. They observe the way the code runs by slowing down the code and compare programs that run all at once to those that respond to user actions like buttons clicks. At the end of the lesson students discuss what they observed and are introduced to some key vocabulary for describing the running of programs.,Quiz,Media,30-60,Inglese,"['user actions like buttons clicks', 'lesson students discuss', 'students use', 'small set', 'simple apps']"
Debugging,https://studio.code.org/s/csp3-2022/lessons/7,14+,"In this lesson students practice using the different programming concepts that they were introduced to in the last lesson. To begin, however, they are introduced to the concept of debugging and are encouraged to use and reflect on this practice throughout the lesson. At the end of the lesson students share their experiences debugging as well as an new realizations about programming.",Quiz,Media,30-60,Inglese,"['lesson students practice using', 'lesson students share', 'different programming concepts', 'practice throughout', 'last lesson']"
Project   Designing an App Part 3,https://studio.code.org/s/csp3-2022/lessons/8,14+,"Student learn about Pair Programming by watching a video and then practicing it themselves while working on their project apps. At this stage, students are adding their first lines of code to their app using debugging skills from the previous lesson. ",Esercizi,Media,30-60,Inglese,"['app using debugging skills', 'student learn', 'project apps', 'previous lesson', 'pair programming']"
